"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify PUT /api/v1/Authors/{id} with non-existent ID should return 404","423","Verify updating non-existent author","Bookstore API Test Suite","Sun Oct 26 17:22:45 UTC 2025","failed","Sun Oct 26 17:22:45 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testUpdateAuthor_NonExistentId"
"Test to verify book object has all required fields with correct data types","424","Verify book data structure integrity","Bookstore API Test Suite","Sun Oct 26 17:22:37 UTC 2025","passed","Sun Oct 26 17:22:37 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_DataStructureValidation"
"Test boundary condition with very large page count","417","Verify creating book with very large page count","Bookstore API Test Suite","Sun Oct 26 17:22:34 UTC 2025","passed","Sun Oct 26 17:22:34 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_VeryLargePageCount"
"Test to verify POST /api/v1/Authors with null last name should return 400","413","Verify creating author with null last name","Bookstore API Test Suite","Sun Oct 26 17:22:43 UTC 2025","failed","Sun Oct 26 17:22:43 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NullLastName"
"Test to verify POST /api/v1/Authors with empty first name should return 400","417","Verify creating author with empty first name","Bookstore API Test Suite","Sun Oct 26 17:22:42 UTC 2025","failed","Sun Oct 26 17:22:43 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_EmptyFirstName"
"Test to verify POST /api/v1/Authors with null first name (field omitted from JSON) should return 400","424","Verify creating author with null first name","Bookstore API Test Suite","Sun Oct 26 17:22:47 UTC 2025","failed","Sun Oct 26 17:22:47 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NullFirstName"
"Test to verify GET /api/v1/Books/{id} returns the correct book details","1522","Verify that a specific book can be retrieved by valid ID","Bookstore API Test Suite","Sun Oct 26 17:22:23 UTC 2025","passed","Sun Oct 26 17:22:25 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_ValidId_Success"
"Test to verify DELETE /api/v1/Books/{id} with non-existent ID should return 404","419","Verify deleting non-existent book","Bookstore API Test Suite","Sun Oct 26 17:22:36 UTC 2025","failed","Sun Oct 26 17:22:36 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_NonExistentId"
"Test to verify GET /api/v1/Books/{id} with negative ID","524","Verify handling of invalid book ID (negative)","Bookstore API Test Suite","Sun Oct 26 17:22:28 UTC 2025","passed","Sun Oct 26 17:22:28 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NegativeId"
"Test to verify GET /api/v1/Books/{id} with non-existent ID returns 404","497","Verify handling of non-existent book ID","Bookstore API Test Suite","Sun Oct 26 17:22:27 UTC 2025","passed","Sun Oct 26 17:22:28 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NonExistentId"
