"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify POST /api/v1/Authors with zero idBook should return 400","593","Verify creating author with zero book ID","Bookstore API Test Suite","Mon Oct 27 19:44:59 UTC 2025","failed","Mon Oct 27 19:45:00 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_ZeroBookId"
"Test to verify GET /api/v1/Books/{id} with ID = 0","804","Verify handling of zero as book ID","Bookstore API Test Suite","Mon Oct 27 19:44:30 UTC 2025","passed","Mon Oct 27 19:44:31 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_ZeroId"
"Test to verify GET /api/v1/Authors/{id} returns the correct author details","653","Verify that a specific author can be retrieved by valid ID","Bookstore API Test Suite","Mon Oct 27 19:44:44 UTC 2025","passed","Mon Oct 27 19:44:45 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_ValidId_Success"
"Test boundary condition with very long first name (500 characters)","607","Verify creating author with very long first name","Bookstore API Test Suite","Mon Oct 27 19:44:53 UTC 2025","passed","Mon Oct 27 19:44:53 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_VeryLongFirstName"
"Test to verify POST /api/v1/Authors with null last name should return 400","612","Verify creating author with null last name","Bookstore API Test Suite","Mon Oct 27 19:44:51 UTC 2025","failed","Mon Oct 27 19:44:52 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NullLastName"
"Test to verify POST /api/v1/Books with null title (field omitted from JSON) should return 400","646","Verify creating book with null/missing title","Bookstore API Test Suite","Mon Oct 27 19:44:31 UTC 2025","failed","Mon Oct 27 19:44:31 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullTitle"
"Test to verify DELETE /api/v1/Books/{id} deletes the book","2140","Verify that an existing book can be deleted successfully","Bookstore API Test Suite","Mon Oct 27 19:44:26 UTC 2025","passed","Mon Oct 27 19:44:28 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_ValidId_Success"
"Test to verify POST /api/v1/Books with duplicate ID should return 409 or 400","1298","Verify creating book with duplicate ID","Bookstore API Test Suite","Mon Oct 27 19:44:36 UTC 2025","failed","Mon Oct 27 19:44:38 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_DuplicateId"
"Test to verify GET /api/v1/Books/{id} with non-existent ID returns 404","756","Verify handling of non-existent book ID","Bookstore API Test Suite","Mon Oct 27 19:44:28 UTC 2025","passed","Mon Oct 27 19:44:29 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NonExistentId"
"Test to verify POST /api/v1/Authors with negative book ID should return 400","619","Verify creating author with negative book ID","Bookstore API Test Suite","Mon Oct 27 19:44:52 UTC 2025","failed","Mon Oct 27 19:44:53 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NegativeBookId"
