"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify author object has all required fields with correct data types","409","Verify author data structure integrity","Bookstore API Test Suite","Sun Oct 26 18:06:30 UTC 2025","passed","Sun Oct 26 18:06:31 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_DataStructureValidation"
"Test to verify GET /api/v1/Authors/{id} with ID = 0 returns 404","416","Verify handling of zero as author ID","Bookstore API Test Suite","Sun Oct 26 18:06:23 UTC 2025","passed","Sun Oct 26 18:06:24 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_ZeroId"
"Test to verify GET /api/v1/Books/{id} returns the correct book details","1441","Verify that a specific book can be retrieved by valid ID","Bookstore API Test Suite","Sun Oct 26 18:06:04 UTC 2025","passed","Sun Oct 26 18:06:05 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_ValidId_Success"
"Test to verify POST /api/v1/Authors with empty string last name should return 400","412","Verify creating author with empty string last name","Bookstore API Test Suite","Sun Oct 26 18:06:29 UTC 2025","failed","Sun Oct 26 18:06:29 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_EmptyStringLastName"
"Test to verify POST /api/v1/Books with empty string publishDate should return 400","422","Verify creating book with invalid publishDate","Bookstore API Test Suite","Sun Oct 26 18:06:12 UTC 2025","passed","Sun Oct 26 18:06:13 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_InvalidPublishDate"
"Test to verify POST /api/v1/Books with empty string excerpt (optional field)","433","Verify creating book with empty string excerpt","Bookstore API Test Suite","Sun Oct 26 18:06:12 UTC 2025","passed","Sun Oct 26 18:06:12 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_EmptyStringExcerpt"
"Test to verify GET /api/v1/Authors/{id} returns the correct author details","458","Verify that a specific author can be retrieved by valid ID","Bookstore API Test Suite","Sun Oct 26 18:06:19 UTC 2025","passed","Sun Oct 26 18:06:20 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_ValidId_Success"
"Test to verify POST /api/v1/Books with null title (field omitted from JSON) should return 400","452","Verify creating book with null/missing title","Bookstore API Test Suite","Sun Oct 26 18:06:10 UTC 2025","failed","Sun Oct 26 18:06:10 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullTitle"
"Test to verify GET /api/v1/Books/{id} with non-existent ID returns 404","716","Verify handling of non-existent book ID","Bookstore API Test Suite","Sun Oct 26 18:06:08 UTC 2025","passed","Sun Oct 26 18:06:09 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NonExistentId"
"Test to verify POST /api/v1/Authors with null first name (field omitted from JSON) should return 400","411","Verify creating author with null first name","Bookstore API Test Suite","Sun Oct 26 18:06:28 UTC 2025","failed","Sun Oct 26 18:06:29 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NullFirstName"
"Test to verify DELETE /api/v1/Books/{id} deletes the book","1410","Verify that an existing book can be deleted successfully","Bookstore API Test Suite","Sun Oct 26 18:06:07 UTC 2025","passed","Sun Oct 26 18:06:08 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_ValidId_Success"
"Test to verify DELETE /api/v1/Books/{id} with negative ID should return 404","415","Verify deleting book with negative ID","Bookstore API Test Suite","Sun Oct 26 18:06:17 UTC 2025","failed","Sun Oct 26 18:06:17 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_NegativeId"
"Test to verify DELETE /api/v1/Authors/{id} deletes the author","1313","Verify that an existing author can be deleted successfully","Bookstore API Test Suite","Sun Oct 26 18:06:21 UTC 2025","passed","Sun Oct 26 18:06:22 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testDeleteAuthor_ValidId_Success"
"Test to verify POST /api/v1/Authors with duplicate ID should return 409 or 400","824","Verify creating author with duplicate ID","Bookstore API Test Suite","Sun Oct 26 18:06:30 UTC 2025","failed","Sun Oct 26 18:06:30 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_DuplicateId"
"Test to verify book object has all required fields with correct data types","425","Verify book data structure integrity","Bookstore API Test Suite","Sun Oct 26 18:06:18 UTC 2025","passed","Sun Oct 26 18:06:18 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_DataStructureValidation"
"Test to verify GET /api/v1/Books/{id} with ID = 0","430","Verify handling of zero as book ID","Bookstore API Test Suite","Sun Oct 26 18:06:10 UTC 2025","passed","Sun Oct 26 18:06:10 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_ZeroId"
"Test boundary condition with very large page count","418","Verify creating book with very large page count","Bookstore API Test Suite","Sun Oct 26 18:06:15 UTC 2025","passed","Sun Oct 26 18:06:15 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_VeryLargePageCount"
"Test to verify POST /api/v1/Authors with negative book ID should return 400","414","Verify creating author with negative book ID","Bookstore API Test Suite","Sun Oct 26 18:06:25 UTC 2025","failed","Sun Oct 26 18:06:25 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NegativeBookId"
"Test to verify POST /api/v1/Books with empty string title should return 400","428","Verify creating book with empty string title","Bookstore API Test Suite","Sun Oct 26 18:06:10 UTC 2025","failed","Sun Oct 26 18:06:11 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_EmptyStringTitle"
"Test to verify POST /api/v1/Books with null description (field omitted from JSON)","434","Verify creating book with null/missing description","Bookstore API Test Suite","Sun Oct 26 18:06:11 UTC 2025","passed","Sun Oct 26 18:06:11 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullDescription"
