"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify GET /api/v1/Authors/{id} with non-existent ID returns 404","468","Verify handling of non-existent author ID","Bookstore API Test Suite","Sun Oct 26 18:13:47 UTC 2025","passed","Sun Oct 26 18:13:47 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_NonExistentId"
"Test to verify POST /api/v1/Books with null title (field omitted from JSON) should return 400","487","Verify creating book with null/missing title","Bookstore API Test Suite","Sun Oct 26 18:13:33 UTC 2025","failed","Sun Oct 26 18:13:34 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullTitle"
"Test to verify GET /api/v1/Books/{id} with non-existent ID returns 404","444","Verify handling of non-existent book ID","Bookstore API Test Suite","Sun Oct 26 18:13:32 UTC 2025","passed","Sun Oct 26 18:13:32 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NonExistentId"
"Test to verify POST /api/v1/Authors with empty string last name should return 400","456","Verify creating author with empty string last name","Bookstore API Test Suite","Sun Oct 26 18:13:54 UTC 2025","failed","Sun Oct 26 18:13:54 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_EmptyStringLastName"
"Test to verify GET /api/v1/Books/{id} returns the correct book details","1671","Verify that a specific book can be retrieved by valid ID","Bookstore API Test Suite","Sun Oct 26 18:13:27 UTC 2025","passed","Sun Oct 26 18:13:28 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_ValidId_Success"
"Test to verify DELETE /api/v1/Authors/{id} with negative ID should return 404","443","Verify deleting author with negative ID","Bookstore API Test Suite","Sun Oct 26 18:13:52 UTC 2025","failed","Sun Oct 26 18:13:53 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testDeleteAuthor_NegativeId"
"Test to verify POST /api/v1/Authors creates a new author and returns 200 status","502","Verify that a new author can be created successfully","Bookstore API Test Suite","Sun Oct 26 18:13:44 UTC 2025","passed","Sun Oct 26 18:13:44 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_ValidData_Success"
"Test to verify GET /api/v1/Books returns list of books with 200 status code","2337","Verify that all books can be retrieved successfully","Bookstore API Test Suite","Sun Oct 26 18:13:24 UTC 2025","passed","Sun Oct 26 18:13:26 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetAllBooks_Success"
"Test to verify DELETE /api/v1/Books/{id} with negative ID should return 404","461","Verify deleting book with negative ID","Bookstore API Test Suite","Sun Oct 26 18:13:41 UTC 2025","failed","Sun Oct 26 18:13:41 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_NegativeId"
"Test to verify GET /api/v1/Books responds within acceptable time","708","Verify response time for getting all books","Bookstore API Test Suite","Sun Oct 26 18:13:41 UTC 2025","passed","Sun Oct 26 18:13:42 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetAllBooks_ResponseTime"
"Test to verify DELETE /api/v1/Books/{id} deletes the book","1686","Verify that an existing book can be deleted successfully","Bookstore API Test Suite","Sun Oct 26 18:13:30 UTC 2025","passed","Sun Oct 26 18:13:32 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_ValidId_Success"
